2012-11-07 10:06:15 startup archives install
2012-11-07 10:06:15 install base-files <none> 6.0squeeze6
2012-11-07 10:06:15 status half-installed base-files 6.0squeeze6
2012-11-07 10:06:15 status unpacked base-files 6.0squeeze6
2012-11-07 10:06:15 status unpacked base-files 6.0squeeze6
2012-11-07 10:06:15 install base-passwd <none> 3.5.22
2012-11-07 10:06:15 status half-installed base-passwd 3.5.22
2012-11-07 10:06:15 status unpacked base-passwd 3.5.22
2012-11-07 10:06:15 status unpacked base-passwd 3.5.22
2012-11-07 10:06:15 configure base-passwd 3.5.22 3.5.22
2012-11-07 10:06:15 status unpacked base-passwd 3.5.22
2012-11-07 10:06:15 status half-configured base-passwd 3.5.22
2012-11-07 10:06:15 status installed base-passwd 3.5.22
2012-11-07 10:06:15 configure base-files 6.0squeeze6 6.0squeeze6
2012-11-07 10:06:15 status unpacked base-files 6.0squeeze6
2012-11-07 10:06:15 status unpacked base-files 6.0squeeze6
2012-11-07 10:06:15 status unpacked base-files 6.0squeeze6
2012-11-07 10:06:15 status unpacked base-files 6.0squeeze6
2012-11-07 10:06:15 status unpacked base-files 6.0squeeze6
2012-11-07 10:06:15 status unpacked base-files 6.0squeeze6
2012-11-07 10:06:15 status half-configured base-files 6.0squeeze6
2012-11-07 10:06:16 status installed base-files 6.0squeeze6
2012-11-07 10:06:16 startup archives install
2012-11-07 10:06:16 upgrade dpkg 1.15.8.13 1.15.8.13
2012-11-07 10:06:16 status half-configured dpkg 1.15.8.13
2012-11-07 10:06:16 status unpacked dpkg 1.15.8.13
2012-11-07 10:06:16 status half-installed dpkg 1.15.8.13
2012-11-07 10:06:17 status half-installed dpkg 1.15.8.13
2012-11-07 10:06:17 status unpacked dpkg 1.15.8.13
2012-11-07 10:06:17 status unpacked dpkg 1.15.8.13
2012-11-07 10:06:17 configure dpkg 1.15.8.13 1.15.8.13
2012-11-07 10:06:17 status unpacked dpkg 1.15.8.13
2012-11-07 10:06:17 status unpacked dpkg 1.15.8.13
2012-11-07 10:06:17 status unpacked dpkg 1.15.8.13
2012-11-07 10:06:17 status unpacked dpkg 1.15.8.13
2012-11-07 10:06:17 status unpacked dpkg 1.15.8.13
2012-11-07 10:06:17 status half-configured dpkg 1.15.8.13
2012-11-07 10:06:17 status installed dpkg 1.15.8.13
2012-11-07 10:06:17 startup archives install
2012-11-07 10:06:17 install libc6 <none> 2.11.3-4
2012-11-07 10:06:17 status half-installed libc6 2.11.3-4
2012-11-07 10:06:18 status unpacked libc6 2.11.3-4
2012-11-07 10:06:18 status unpacked libc6 2.11.3-4
2012-11-07 10:06:18 configure libc6 2.11.3-4 2.11.3-4
2012-11-07 10:06:18 status unpacked libc6 2.11.3-4
2012-11-07 10:06:18 status unpacked libc6 2.11.3-4
2012-11-07 10:06:18 status half-configured libc6 2.11.3-4
2012-11-07 10:06:20 status installed libc6 2.11.3-4
2012-11-07 10:06:20 startup archives install
2012-11-07 10:06:20 install perl-base <none> 5.10.1-17squeeze3
2012-11-07 10:06:20 status half-installed perl-base 5.10.1-17squeeze3
2012-11-07 10:06:21 status unpacked perl-base 5.10.1-17squeeze3
2012-11-07 10:06:21 status unpacked perl-base 5.10.1-17squeeze3
2012-11-07 10:06:21 configure perl-base 5.10.1-17squeeze3 5.10.1-17squeeze3
2012-11-07 10:06:21 status unpacked perl-base 5.10.1-17squeeze3
2012-11-07 10:06:21 status half-configured perl-base 5.10.1-17squeeze3
2012-11-07 10:06:21 status installed perl-base 5.10.1-17squeeze3
2012-11-07 10:06:21 startup archives install
2012-11-07 10:06:21 install mawk <none> 1.3.3-15
2012-11-07 10:06:21 status half-installed mawk 1.3.3-15
2012-11-07 10:06:21 status unpacked mawk 1.3.3-15
2012-11-07 10:06:21 status unpacked mawk 1.3.3-15
2012-11-07 10:06:21 configure mawk 1.3.3-15 1.3.3-15
2012-11-07 10:06:21 status unpacked mawk 1.3.3-15
2012-11-07 10:06:21 status half-configured mawk 1.3.3-15
2012-11-07 10:06:21 status installed mawk 1.3.3-15
2012-11-07 10:06:21 startup archives unpack
2012-11-07 10:06:21 install libacl1 <none> 2.2.49-4
2012-11-07 10:06:21 status half-installed libacl1 2.2.49-4
2012-11-07 10:06:21 status unpacked libacl1 2.2.49-4
2012-11-07 10:06:21 status unpacked libacl1 2.2.49-4
2012-11-07 10:06:22 install libattr1 <none> 1:2.4.44-2
2012-11-07 10:06:22 status half-installed libattr1 1:2.4.44-2
2012-11-07 10:06:22 status unpacked libattr1 1:2.4.44-2
2012-11-07 10:06:22 status unpacked libattr1 1:2.4.44-2
